Analisis de acciones
2021-04-26  Sube
2021-04-27  Sube
2021-04-28  Baja
2021-04-29  Baja
2021-04-30  Baja
2021-05-03  Baja
2021-05-04  Baja
2021-05-05  Baja
2021-05-06  Baja
2021-05-07  Sube
2021-05-10  Baja
2021-05-11  Sube
2021-05-12  Baja
2021-05-13  Baja
2021-05-14  Baja
2021-05-17  Baja
2021-05-18  Sube
2021-05-19  Sube
2021-05-20  Baja
2021-05-21  Baja
2021-05-24  Sube
2021-05-25  Sube
2021-05-26  Baja
2021-05-27  Sube
2021-05-28  Sube
2021-06-01  Baja
2021-06-02  Baja
2021-06-03  Baja
2021-06-04  Sube
2021-06-07  Sube
2021-06-08  Baja
2021-06-09  Baja
2021-06-10  Sube
2021-06-11  Sube
2021-06-14  Baja
2021-06-15  Baja
2021-06-16  Baja
2021-06-17  Sube
2021-06-18  Baja
2021-06-21  Sube
2021-06-22  Sube
2021-06-23  Sube
2021-06-24  Baja
2021-06-25  Sube
2021-06-28  Sube
2021-06-29  Baja
2021-06-30  Baja
2021-07-01  Baja
2021-07-02  Baja
2021-07-06  Sube
2021-07-07  Sube
2021-07-08  Baja
2021-07-09  Sube
2021-07-12  Sube
2021-07-13  Sube
2021-07-14  Baja
2021-07-15  Baja
2021-07-16  Baja
2021-07-19  Sube
2021-07-20  Sube
2021-07-21  Baja
2021-07-22  Sube
2021-07-23  Sube
2021-07-26  Baja
2021-07-27  Baja
2021-07-28  Sube
2021-07-29  Baja
2021-07-30  Sube
2021-08-02  Baja
2021-08-03  Baja
2021-08-04  Sube
2021-08-05  Sube
2021-08-06  Sube
2021-08-09  Baja
2021-08-10  Baja
2021-08-11  Sube
2021-08-12  Sube
2021-08-13  Sube
2021-08-16  Sube
2021-08-17  Sube
2021-08-18  Sube
2021-08-19  Sube
2021-08-20  Sube
2021-08-23  Sube
2021-08-24  Sube
2021-08-25  Baja
2021-08-26  Sube
2021-08-27  Sube
2021-08-30  Sube
2021-08-31  Baja
2021-09-01  Baja
2021-09-02  Baja
2021-09-03  Sube
2021-09-07  Baja
2021-09-08  Baja
2021-09-09  Baja
2021-09-10  Baja
2021-09-13  Baja
2021-09-14  Sube
2021-09-15  Sube
2021-09-16  Sube
2021-09-17  Baja
2021-09-20  Sube
2021-09-21  Baja
2021-09-22  Baja
2021-09-23  Sube
2021-09-24  Baja
2021-09-27  Baja
2021-09-28  Baja
2021-09-29  Baja
2021-09-30  Baja
2021-10-01  Baja
2021-10-04  Baja
2021-10-05  Sube
2021-10-06  Sube
2021-10-07  Sube
2021-10-08  Baja
2021-10-11  Baja
2021-10-12  Sube
2021-10-13  Sube
2021-10-14  Sube
2021-10-15  Sube
2021-10-18  Sube
2021-10-19  Sube
2021-10-20  Baja
2021-10-21  Sube
2021-10-22  Baja
2021-10-25  Sube
2021-10-26  Baja
2021-10-27  Baja
2021-10-28  Sube
2021-10-29  Sube
2021-11-01  Sube
2021-11-02  Sube
2021-11-03  Sube
2021-11-04  Sube
2021-11-05  Sube
2021-11-08  Sube
2021-11-09  Sube
2021-11-10  Baja
2021-11-11  Baja
2021-11-12  Baja
2021-11-15  Baja
2021-11-16  Sube
2021-11-17  Sube
2021-11-18  Baja
2021-11-19  Baja
2021-11-22  Baja
2021-11-23  Baja
2021-11-24  Sube
2021-11-26  Baja
2021-11-29  Sube
2021-11-30  Baja
2021-12-01  Baja
2021-12-02  Sube
2021-12-03  Baja
2021-12-06  Sube
2021-12-07  Sube
2021-12-08  Sube
2021-12-09  Baja
2021-12-10  Baja
2021-12-13  Sube
2021-12-14  Baja
2021-12-15  Sube
2021-12-16  Baja
2021-12-17  Sube
2021-12-20  Sube
2021-12-21  Sube
2021-12-22  Sube
2021-12-23  Sube
2021-12-27  Sube
2021-12-28  Sube
2021-12-29  Sube
2021-12-30  Baja
2021-12-31  Sube
2022-01-03  Baja
2022-01-04  Baja
2022-01-05  Baja
2022-01-06  Sube
2022-01-07  Baja
2022-01-10  Sube
2022-01-11  Sube
2022-01-12  Sube
2022-01-13  Baja
2022-01-14  Sube
2022-01-18  Baja
2022-01-19  Baja
2022-01-20  Baja
2022-01-21  Baja
2022-01-24  Sube
2022-01-25  Baja
2022-01-26  Baja
2022-01-27  Baja
2022-01-28  Sube
2022-01-31  Sube
2022-02-01  Sube
2022-02-02  Baja
2022-02-03  Sube
2022-02-04  Sube
2022-02-07  Baja
2022-02-08  Sube
2022-02-09  Sube
2022-02-10  Sube
2022-02-11  Baja
2022-02-14  Sube
2022-02-15  Sube
2022-02-16  Sube
2022-02-17  Baja
2022-02-18  Baja
2022-02-22  Baja
2022-02-23  Baja
2022-02-24  Sube
2022-02-25  Sube
2022-02-28  Sube
2022-03-01  Baja
2022-03-02  Baja
2022-03-03  Baja
2022-03-04  Baja
2022-03-07  Baja
2022-03-08  Sube
2022-03-09  Baja
2022-03-10  Baja
2022-03-11  Baja
2022-03-14  Baja
2022-03-15  Sube
2022-03-16  Sube
2022-03-17  Sube
2022-03-18  Sube
2022-03-21  Baja
2022-03-22  Sube
2022-03-23  Baja
2022-03-24  Baja
2022-03-25  Baja
2022-03-28  Baja
2022-03-29  Sube
2022-03-30  Baja
2022-03-31  Sube
2022-04-01  Baja
2022-04-04  Sube
2022-04-05  Baja
2022-04-06  Baja
2022-04-07  Baja
2022-04-08  Baja
2022-04-11  Sube
2022-04-12  Baja
2022-04-13  Sube
2022-04-14  Baja
2022-04-18  Baja
2022-04-19  Sube
2022-04-20  Baja
2022-04-21  Baja
2022-04-22  Baja
